timestamp,open,high,low,close,volume
20240604 115700,5278.75,5280.25,5278.75,5279.75,372
20240604 115800,5280,5280.25,5278.75,5279.25,362
20240604 115900,5279.25,5279.75,5279,5279.5,231
20240604 120000,5279.5,5280,5279.25,5279.75,182
20240604 120100,5279.75,5280.5,5279,5279.75,716
20240604 120200,5279.75,5280.25,5279,5279.5,545
20240604 120300,5279.5,5279.75,5277.75,5278.5,1071
20240604 120400,5278.75,5278.75,5275.5,5276,1321
20240604 120500,5276,5276,5273,5273.25,1236
20240604 120600,5273.25,5274.75,5272.5,5274.75,928
20240604 120700,5274.75,5275,5273.5,5274.25,693
20240604 120800,5274.25,5274.75,5272.25,5272.5,858
20240604 120900,5272.5,5273,5272,5272.25,524
20240604 121000,5272.25,5273,5272.25,5273,565
20240604 121100,5273,5274.25,5273,5273,426
20240604 121200,5273.25,5274,5273,5273.75,340
20240604 121300,5273.5,5274.5,5273.5,5274.25,358
20240604 121400,5274,5276.25,5273.5,5275.75,909
20240604 121500,5276,5277,5275.25,5276,614
20240604 121600,5276.25,5276.5,5275.75,5276,345
20240604 121700,5275.75,5277.5,5274.75,5275,601
20240604 121800,5275,5275.25,5274.75,5275,322
20240604 121900,5275.25,5277.5,5275.25,5277,525
20240604 122000,5277.25,5278.25,5277,5278.25,363
20240604 122100,5278,5278.5,5277.75,5277.75,281
20240604 122200,5277.75,5278.5,5277.25,5278,736
20240604 122300,5278,5278.25,5277.75,5278,228
20240604 122400,5277.75,5278.5,5277,5277.75,342
20240604 122500,5277.75,5278,5276.75,5276.75,264
20240604 122600,5276.75,5278.75,5276.75,5278.5,241
20240604 122700,5278.75,5279,5278.25,5278.5,266
20240604 122800,5278.75,5279,5277.75,5279,353
20240604 122900,5278.75,5278.75,5277.25,5277.75,475
20240604 123000,5277.75,5278.5,5277.75,5278,255
20240604 123100,5278,5278.75,5277.75,5278.5,372
20240604 123200,5278.5,5278.75,5278.25,5278.5,366
20240604 123300,5278.75,5279.25,5278.5,5279,233
20240604 123400,5278.75,5278.75,5277.5,5278.25,416
20240604 123500,5278.25,5279,5278.25,5279,347
